duelist_id,duelist_name,card_id,deck,sa_pow,bcd,sa_tec
1,"Simon Muran",2,0,27,0,0
1,"Simon Muran",9,72,90,98,92
1,"Simon Muran",10,0,30,0,0
1,"Simon Muran",16,0,60,57,54
1,"Simon Muran",17,1,0,0,0
1,"Simon Muran",18,1,0,0,0
1,"Simon Muran",19,1,6,6,6
1,"Simon Muran",20,1,0,0,0
1,"Simon Muran",21,1,0,0,0
1,"Simon Muran",24,72,27,29,27
1,"Simon Muran",25,0,27,0,0
1,"Simon Muran",30,0,27,0,0
1,"Simon Muran",41,0,27,0,0
1,"Simon Muran",46,0,27,0,0
1,"Simon Muran",47,0,27,29,27
1,"Simon Muran",48,0,27,29,27
1,"Simon Muran",58,72,30,30,27
1,"Simon Muran",59,0,27,0,0
1,"Simon Muran",65,0,27,0,0
1,"Simon Muran",102,0,0,14,12
1,"Simon Muran",105,0,52,57,53
1,"Simon Muran",123,72,52,57,53
1,"Simon Muran",130,0,52,57,53
1,"Simon Muran",137,0,52,57,53
1,"Simon Muran",167,80,52,56,52
1,"Simon Muran",192,72,52,56,52
1,"Simon Muran",197,0,52,56,52
1,"Simon Muran",202,0,52,56,52
1,"Simon Muran",237,0,52,56,52
1,"Simon Muran",238,0,12,14,12
1,"Simon Muran",289,72,52,56,52
1,"Simon Muran",301,0,0,20,20
1,"Simon Muran",313,0,0,0,20
1,"Simon Muran",314,0,0,0,20
1,"Simon Muran",333,0,40,40,36
1,"Simon Muran",336,0,0,0,20
1,"Simon Muran",338,48,0,0,0
1,"Simon Muran",343,100,0,0,0
1,"Simon Muran",349,0,0,0,36
1,"Simon Muran",381,0,2,0,0
1,"Simon Muran",387,72,52,56,52
1,"Simon Muran",394,80,0,0,0
1,"Simon Muran",395,72,0,0,0
1,"Simon Muran",397,70,52,56,52
1,"Simon Muran",398,80,0,0,0
1,"Simon Muran",399,70,0,0,0
1,"Simon Muran",402,80,52,56,52
1,"Simon Muran",410,0,52,56,52
1,"Simon Muran",411,80,52,56,52
1,"Simon Muran",422,0,52,56,52
1,"Simon Muran",428,75,0,0,0
1,"Simon Muran",436,0,52,56,52
1,"Simon Muran",444,0,52,56,52
1,"Simon Muran",469,80,52,56,52
1,"Simon Muran",475,80,0,0,0
1,"Simon Muran",484,80,52,56,52
1,"Simon Muran",485,0,52,56,52
1,"Simon Muran",488,0,52,56,52
1,"Simon Muran",499,80,0,0,0
1,"Simon Muran",504,72,52,56,52
1,"Simon Muran",516,0,52,56,52
1,"Simon Muran",527,80,0,0,0
1,"Simon Muran",547,80,52,56,52
1,"Simon Muran",548,72,52,56,52
1,"Simon Muran",558,0,52,56,52
1,"Simon Muran",563,0,52,56,52
1,"Simon Muran",635,80,52,56,52
1,"Simon Muran",676,0,0,0,20
1,"Simon Muran",677,0,0,18,20
1,"Simon Muran",681,0,0,18,20
1,"Simon Muran",682,0,0,0,20
1,"Simon Muran",690,0,0,18,20
2,"Teana",9,2,0,0,0
2,"Teana",19,0,6,6,6
2,"Teana",24,300,180,180,170
2,"Teana",56,2,0,0,0
2,"Teana",58,300,180,180,170
2,"Teana",102,0,12,0,0
2,"Teana",105,2,0,0,0
2,"Teana",123,2,0,0,0
2,"Teana",167,2,180,180,168
2,"Teana",192,2,0,0,0
2,"Teana",197,2,0,0,0
2,"Teana",278,2,0,0,0
2,"Teana",289,2,0,0,0
2,"Teana",302,0,16,16,16
2,"Teana",312,0,0,0,15
2,"Teana",313,0,0,0,15
2,"Teana",330,0,30,30,30
2,"Teana",336,0,0,0,15
2,"Teana",338,300,0,0,0
2,"Teana",344,120,0,0,0
2,"Teana",345,0,0,0,15
2,"Teana",350,0,0,0,30
2,"Teana",387,2,0,0,0
2,"Teana",393,400,176,180,170
2,"Teana",394,2,0,0,0
2,"Teana",395,300,176,178,170
2,"Teana",397,2,0,0,0
2,"Teana",398,2,176,178,170
2,"Teana",399,300,176,178,170
2,"Teana",402,2,176,178,168
2,"Teana",469,0,176,178,168
2,"Teana",475,0,176,178,168
2,"Teana",527,0,176,178,168
2,"Teana",543,0,12,0,0
2,"Teana",566,0,12,0,0
2,"Teana",570,0,6,0,0
2,"Teana",580,0,6,0,0
2,"Teana",681,0,0,14,15
2,"Teana",682,0,0,0,15
2,"Teana",690,0,0,15,15
2,"Teana",699,0,0,1,1
3,"Jono",4,2,20,0,0
3,"Jono",9,120,0,0,0
3,"Jono",16,2,64,64,60
3,"Jono",20,0,6,6,4
3,"Jono",29,2,20,0,0
3,"Jono",50,0,44,44,40
3,"Jono",61,0,20,0,0
3,"Jono",100,2,20,0,0
3,"Jono",104,0,44,44,40
3,"Jono",105,0,44,44,40
3,"Jono",122,0,44,44,40
3,"Jono",123,120,0,0,0
3,"Jono",130,0,44,44,40
3,"Jono",135,0,44,44,40
3,"Jono",137,0,44,44,40
3,"Jono",152,0,44,44,40
3,"Jono",154,0,44,44,40
3,"Jono",167,72,0,0,0
3,"Jono",174,0,44,44,40
3,"Jono",182,0,44,44,40
3,"Jono",185,0,44,44,40
3,"Jono",191,0,44,44,40
3,"Jono",192,120,0,0,0
3,"Jono",197,0,44,44,40
3,"Jono",202,0,44,44,40
3,"Jono",207,0,44,44,40
3,"Jono",210,0,44,44,40
3,"Jono",214,0,44,44,40
3,"Jono",237,0,44,44,40
3,"Jono",242,0,44,44,42
3,"Jono",245,0,44,44,42
3,"Jono",268,0,44,44,42
3,"Jono",289,120,0,0,0
3,"Jono",301,0,0,16,16
3,"Jono",302,0,0,16,16
3,"Jono",310,0,0,0,16
3,"Jono",311,0,0,0,16
3,"Jono",333,0,25,36,36
3,"Jono",336,0,0,0,16
3,"Jono",339,72,0,0,0
3,"Jono",343,0,0,16,16
3,"Jono",344,120,0,0,18
3,"Jono",387,120,0,0,0
3,"Jono",397,120,0,0,0
3,"Jono",402,72,0,0,0
3,"Jono",410,0,44,44,42
3,"Jono",411,120,0,0,0
3,"Jono",420,0,44,44,42
3,"Jono",422,0,44,44,42
3,"Jono",428,120,0,0,0
3,"Jono",436,0,44,44,42
3,"Jono",444,0,44,44,42
3,"Jono",469,72,0,0,0
3,"Jono",484,120,0,0,0
3,"Jono",485,0,44,44,42
3,"Jono",486,0,44,44,42
3,"Jono",488,0,44,44,42
3,"Jono",492,0,44,44,42
3,"Jono",501,0,44,44,42
3,"Jono",504,120,0,0,0
3,"Jono",516,0,44,44,42
3,"Jono",524,0,44,44,42
3,"Jono",547,120,0,0,0
3,"Jono",548,120,0,0,0
3,"Jono",549,0,44,44,42
3,"Jono",558,72,44,44,42
3,"Jono",563,0,44,44,42
3,"Jono",570,0,6,0,0
3,"Jono",579,0,44,44,42
3,"Jono",580,0,6,0,0
3,"Jono",581,0,2,0,0
3,"Jono",588,0,2,2,0
3,"Jono",589,0,44,44,42
3,"Jono",598,0,44,44,42
3,"Jono",607,0,2,0,0
3,"Jono",611,0,44,44,42
3,"Jono",616,0,2,0,0
3,"Jono",635,120,0,0,0
3,"Jono",651,0,33,34,35
3,"Jono",654,0,0,0,35
3,"Jono",677,0,0,18,16
3,"Jono",679,0,0,0,16
3,"Jono",681,0,16,18,16
3,"Jono",683,0,0,0,16
3,"Jono",690,0,0,18,16
4,"Villageois 1",9,0,74,76,60
4,"Villageois 1",20,0,6,6,6
4,"Villageois 1",24,160,74,76,60
4,"Villageois 1",58,160,74,76,60
4,"Villageois 1",112,0,12,0,0
4,"Villageois 1",123,0,74,76,60
4,"Villageois 1",146,0,12,0,0
4,"Villageois 1",153,0,12,0,0
4,"Villageois 1",165,0,12,0,0
4,"Villageois 1",167,120,74,76,60
4,"Villageois 1",192,0,74,76,60
4,"Villageois 1",234,0,12,0,0
4,"Villageois 1",241,0,12,0,0
4,"Villageois 1",289,0,74,76,60
4,"Villageois 1",307,0,16,18,16
4,"Villageois 1",308,0,0,0,16
4,"Villageois 1",309,0,0,0,16
4,"Villageois 1",311,0,0,0,16
4,"Villageois 1",312,0,0,0,16
4,"Villageois 1",323,0,0,18,16
4,"Villageois 1",327,0,0,0,16
4,"Villageois 1",332,0,32,35,32
4,"Villageois 1",336,0,0,0,18
4,"Villageois 1",338,0,32,35,32
4,"Villageois 1",339,64,0,35,32
4,"Villageois 1",340,0,0,0,32
4,"Villageois 1",345,0,0,18,18
4,"Villageois 1",350,120,0,35,32
4,"Villageois 1",387,0,74,76,60
4,"Villageois 1",393,160,74,76,60
4,"Villageois 1",394,160,0,0,0
4,"Villageois 1",395,160,74,75,60
4,"Villageois 1",397,0,74,75,60
4,"Villageois 1",398,160,74,75,60
4,"Villageois 1",399,160,74,75,60
4,"Villageois 1",402,120,74,75,60
4,"Villageois 1",411,0,74,75,60
4,"Villageois 1",435,0,12,0,0
4,"Villageois 1",450,0,12,0,0
4,"Villageois 1",469,120,74,75,60
4,"Villageois 1",475,120,74,75,60
4,"Villageois 1",480,0,12,0,0
4,"Villageois 1",484,2,74,75,60
4,"Villageois 1",485,2,0,0,0
4,"Villageois 1",488,2,0,0,0
4,"Villageois 1",499,120,0,0,0
4,"Villageois 1",502,0,12,0,0
4,"Villageois 1",504,2,74,72,60
4,"Villageois 1",516,2,0,0,0
4,"Villageois 1",527,120,74,72,60
4,"Villageois 1",541,2,0,0,0
4,"Villageois 1",547,2,74,72,60
4,"Villageois 1",548,2,74,72,60
4,"Villageois 1",558,2,74,72,60
4,"Villageois 1",563,2,0,0,0
4,"Villageois 1",570,0,10,0,0
4,"Villageois 1",580,0,8,0,0
4,"Villageois 1",635,2,74,75,60
4,"Villageois 1",644,2,0,0,0
4,"Villageois 1",655,0,16,18,20
4,"Villageois 1",665,0,0,0,12
4,"Villageois 1",666,0,0,0,12
4,"Villageois 1",671,0,0,0,12
4,"Villageois 1",673,0,0,0,12
4,"Villageois 1",674,0,0,0,12
4,"Villageois 1",676,0,0,0,12
4,"Villageois 1",677,0,0,0,12
4,"Villageois 1",678,0,0,0,12
4,"Villageois 1",679,0,0,0,12
4,"Villageois 1",680,0,0,0,12
4,"Villageois 1",681,0,16,18,24
4,"Villageois 1",690,0,16,18,22
4,"Villageois 1",691,0,0,0,12
4,"Villageois 1",692,0,0,0,12
4,"Villageois 1",693,0,0,0,12
4,"Villageois 1",694,0,0,0,12
4,"Villageois 1",695,0,0,0,12
4,"Villageois 1",697,0,0,0,12
4,"Villageois 1",698,0,0,0,12
4,"Villageois 1",699,0,0,0,12
4,"Villageois 1",700,0,0,0,12
5,"Villageois 2",5,16,0,0,0
5,"Villageois 2",8,10,0,0,0
5,"Villageois 2",9,1,15,26,25
5,"Villageois 2",10,0,15,0,0
5,"Villageois 2",19,0,6,12,12
5,"Villageois 2",23,0,15,0,0
5,"Villageois 2",24,1,15,26,25
5,"Villageois 2",25,0,15,0,0
5,"Villageois 2",28,1,0,0,0
5,"Villageois 2",29,20,0,0,0
5,"Villageois 2",30,1,30,0,0
5,"Villageois 2",34,0,15,0,0
5,"Villageois 2",36,0,15,0,0
5,"Villageois 2",40,0,15,26,0
5,"Villageois 2",45,36,15,26,25
5,"Villageois 2",47,10,0,0,0
5,"Villageois 2",48,20,0,0,0
5,"Villageois 2",53,0,15,0,0
5,"Villageois 2",59,0,15,0,0
5,"Villageois 2",61,0,15,26,0
5,"Villageois 2",65,0,15,26,0
5,"Villageois 2",75,10,0,0,0
5,"Villageois 2",80,0,15,0,0
5,"Villageois 2",96,36,15,26,25
5,"Villageois 2",97,44,15,26,25
5,"Villageois 2",98,4,15,26,25
5,"Villageois 2",100,16,0,0,0
5,"Villageois 2",102,0,10,12,12
5,"Villageois 2",103,0,15,0,0
5,"Villageois 2",107,10,0,0,0
5,"Villageois 2",108,44,15,26,25
5,"Villageois 2",109,0,15,0,0
5,"Villageois 2",110,0,15,0,0
5,"Villageois 2",113,16,0,0,0
5,"Villageois 2",114,16,0,0,0
5,"Villageois 2",115,0,15,0,0
