material1_id,material2_id,result_id,result_atk
1,156,186,2000
1,157,186,2000
1,158,186,2000
1,159,186,2000
1,160,186,2000
1,161,186,2000
1,162,186,2000
1,163,186,2000
1,164,186,2000
1,165,186,2000
1,76,189,2300
1,77,189,2300
1,78,189,2300
1,79,189,2300
1,80,189,2300
1,81,189,2300
1,82,189,2300
1,83,189,2300
1,84,189,2300
1,85,189,2300
1,46,191,2200
1,47,191,2200
1,48,191,2200
1,49,191,2200
1,50,191,2200
1,51,191,2200
1,52,191,2200
1,53,191,2200
1,54,191,2200
1,55,191,2200
1,66,194,2000
1,67,194,2000
1,68,194,2000
1,69,194,2000
1,70,194,2000
1,72,281,2600
1,73,300,2800
1,74,194,2000
1,75,194,2000
1,36,467,2400
1,37,467,2400
1,38,467,2400
1,39,467,2400
1,40,467,2400
1,41,467,2400
1,42,467,2400
1,43,467,2400
1,44,467,2400
1,45,467,2400
1,213,214,3350
1,12,219,2400
1,252,253,2900
1,26,255,2000
1,27,255,2000
1,28,255,2000
1,29,255,2000
1,30,255,2000
1,31,255,2000
1,32,255,2000
1,33,255,2000
1,34,255,2000
1,35,255,2000
1,255,256,3000
1,258,259,4000
1,260,262,3100
1,377,378,3000
1,390,391,3350
1,57,224,3000
1,56,224,3000
1,419,420,3300
1,354,355,3100
1,58,438,2500
1,59,438,2500
1,60,438,2500
1,61,438,2500
1,62,438,2500
1,63,438,2500
1,64,438,2500
1,65,438,2500
1,438,225,3000
1,443,459,3000
1,71,194,2000
1,445,283,3110
1,3,194,2000
1,136,206,2400
1,137,206,2400
1,138,206,2400
1,139,206,2400
1,140,206,2400
1,141,206,2400
1,142,206,2400
1,143,206,2400
1,144,206,2400
1,145,206,2400
1,210,211,2800
1,467,468,3000
1,459,461,4000
1,166,471,2100
1,167,471,2100
1,168,471,2100
1,169,471,2100
1,170,471,2100
1,171,471,2100
1,172,471,2100
1,173,471,2100
1,174,471,2100
1,175,471,2100
1,392,471,2100
1,393,471,2100
1,394,471,2100
1,471,217,3000
1,150,420,3300
1,176,478,2100
1,177,478,2100
1,178,478,2100
1,179,478,2100
1,180,478,2100
1,181,478,2100
1,182,478,2100
1,183,478,2100
1,184,478,2100
1,185,478,2100
1,107,488,2300
1,109,488,2300
1,97,491,2100
1,98,491,2100
1,99,491,2100
1,100,491,2100
1,101,491,2100
1,102,491,2100
1,103,491,2100
1,104,491,2100
1,105,491,2100
1,96,491,2100
2,156,186,2000
2,157,186,2000
2,158,186,2000
2,159,186,2000
2,160,186,2000
2,161,186,2000
2,162,186,2000
2,163,186,2000
2,164,186,2000
2,165,186,2000
2,76,189,2300
2,77,189,2300
2,78,189,2300
2,79,189,2300
2,80,189,2300
2,81,189,2300
2,82,189,2300
2,83,189,2300
2,84,189,2300
2,85,189,2300
2,46,191,2200
2,47,191,2200
2,48,191,2200
2,49,191,2200
2,50,191,2200
2,52,191,2200
2,53,191,2200
2,54,191,2200
2,55,191,2200
2,66,194,2000
2,67,194,2000
2,68,194,2000
2,69,194,2000
2,70,194,2000
2,72,281,2600
2,73,300,2800
2,74,194,2000
2,75,194,2000
2,36,467,2400
2,37,467,2400
2,38,467,2400
2,39,467,2400
2,40,467,2400
2,41,467,2400
2,42,467,2400
2,43,467,2400
2,44,467,2400
2,45,467,2400
2,213,214,3350
2,12,219,2400
2,252,253,2900
2,26,255,2000
2,27,255,2000
2,28,255,2000
2,29,255,2000
2,30,255,2000
2,31,255,2000
2,32,255,2000
2,33,255,2000
2,34,255,2000
2,35,255,2000
2,255,256,3000
2,258,259,4000
2,260,262,3100
2,377,378,3000
2,390,391,3350
2,57,224,3000
2,56,224,3000
2,419,420,3300
2,354,355,3100
2,58,438,2500
2,59,438,2500
2,60,438,2500
2,61,438,2500
2,62,438,2500
2,63,438,2500
2,64,438,2500
2,65,438,2500
2,438,225,3000
2,443,459,3000
2,71,194,2000
2,445,283,3110
2,3,194,2000
2,136,206,2400
2,137,206,2400
2,138,206,2400
2,139,206,2400
